ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
20 SHERATON DR,ALTOONA,PA,16601,40.4582765,-78.41011329999999
13510 WINDCHASE CT,HOUSTON,TX,77082,29.7309694,-95.6293047
3939 ATLANTIC AVE 202,LONG BEACH,CA,90807,33.830115,-118.1853225
4375E LOWELL ST I,ONTARIO,CA,91761,34.0536057,-117.5563555
6270 MCLEOD DR 100,LAS VEGAS,NV,89120,36.0759629,-115.1090936
1492 E RIDGELINE DR,SOUTH OGDEN,UT,84405,41.1554821,-111.9415745
6465 MILLENNIUM,LANSING,MI,48917,42.7254225,-84.64388939999999
265 BENTON DRIVE # 201,EAST LONGMEADOW,MA,01028,42.042734,-72.52915949999999
1 NORTHWESTERN DR,BLOOMFIELD,CT,06002,41.8158253,-72.725605
866 BOSTON POST RD,WESTBROOK,CT,06498,41.281702,-72.441802
1681 WOODBRIDGE PARK AVE,LAPEER,MI,48446,43.0654,-83.3313465
1476 W NINTH STREET,UPLAND,CA,91786,34.0950567,-117.677349
600 NW PRYOR RD,LEES SUMMIT,MO,64081,38.9239215,-94.4142656
2075 NE WYATT CT,BEND,OR,97701,44.0713553,-121.2649344
1 RIDGEGATE DR,TEMECULA,CA,92590,33.4956038,-117.1615851
240 KENSINGTON RD,BERLIN,CT,06037,41.594996,-72.790114
24 SCOTT ST,HAMDEN,CT,06514,41.3484399,-72.9338264
7870W US HIGHWAY 2,MANISTIQUE,MI,49854,45.9465805,-86.2760938
705 NEW BRITAIN AVE,HARTFORD,CT,06106,41.7291079,-72.7071002
2830S REDWOOD RD A,WEST VALLEY CITY,UT,84119,40.70931,-111.9396688
7323 BOULDER VIEW LN,RICHMOND,VA,23225,37.5132817,-77.5309544
10700 PARK PL,SAINT JOHN,IN,46373,41.423419,-87.44230300000001
3408 W 84 STREET BUILDING G,HIALEAH,FL,33018,25.8969993,-80.3528213
37799 PROFESSIONAL CENTER DR 103,LIVONIA,MI,48154,42.4093305,-83.4170295
13923 ICOT BLVD,CLEARWATER,FL,33760,27.8984567,-82.7143968
1500 HWY 72,ROLLA,MO,65401,37.9569101,-91.77602449999999
23210 CRENSHAW BLVD 200,TORRANCE,CA,90505,33.814824,-118.3275785
7410 SPRING VILLAGE DRIVE,SPRINGFIELD,VA,22150,38.7692817,-77.2042556
1212N SPENCER 1,MESA,AZ,85203,33.4374038,-111.8074878
680 IWILEI RD 660,HONOLULU,HI,96817,21.3164212,-157.8705002
8147 COPERNICUS WAY 101,TRINITY,FL,34655,28.2104359,-82.6791456
10043 MIDLOTHIAN TPKE,NORTH CHESTERFIELD,VA,23235,37.5057007,-77.5823265
12 PROGRESS DR,SHELTON,CT,06484,41.2727858,-73.1311008
1111N PLUM ST 5,SPRINGFIELD,OH,45504,39.9385301,-83.8172805
1221 ARISTA DR,ROCKWALL,TX,75032,32.8878639,-96.472116
4715 MONARCH FALLS LN,RICHMOND,TX,77469,29.4957324,-95.7671031
4850 SMITH RD,CINCINNATI,OH,45212,39.1631981,-84.4535557
359 DE DIEGO AVE,SAN JUAN,PR,00909,18.4465558,-66.0679092
97 BARNES RD,WALLINGFORD,CT,06492,41.4848229,-72.8025924
312 E CUSTER ST,NESS CITY,KS,67560,38.4581143,-99.9013138
2490 HONOLULU AVE,MONTROSE,CA,91020,34.2072844,-118.2338857
11800 NE 128TH ST #200,KIRKLAND,WA,98034,47.71527039999999,-122.1842148
6422 BELLINGHAM AVE 210,NORTH HOLLYWOOD,CA,91606,34.1874377,-118.3984744
700 W JOHNSON AVE,CHESHIRE,CT,06410,41.5586508,-72.9177977
11879 KEMPER RD,AUBURN,CA,95603,38.9316874,-121.091935
"548 NW UNIVERSITY BLVD, # 101",PORT ST LUCIE,FL,34986,27.3204721,-80.4021333
POB 10003 PMB 1341,SAIPAN,MP,96950,15.1850483,145.7467259
15W700 N FRONTAGE RD,BURR RIDGE,IL,60527,41.7503787,-87.932695
501 WASHINGTON STREET,SOUTH POINT,OH,45680,38.4243197,-82.5797853
61 MAIN ST,CENTERBROOK,CT,06409,41.3520705,-72.4163123
18 MELODY LANE,COLLINS,MS,39428,31.628813,-89.5559691
800 BOONE N AVE 200,GOLDEN VALLEY,MN,55427,44.9876554,-93.3895114
1676 MULKEY ROAD,AUSTELL,GA,30106,33.8592138,-84.6039589
27 GOVERNOR ST,RIDGEFIELD,CT,06877,41.281023,-73.49586
1009 MAITLAND CENTER COMMONS BLVD,MAITLAND,FL,32751,28.6370613,-81.3979835
7820 GRAPHIC DR,TINLEY PARK,IL,60477,41.5515855,-87.8074699
4 LIFE MARK DR,SELLERSVILLE,PA,18960,40.3630658,-75.3304272
8344 E RL THRTN FWY,DALLAS,TX,75228,32.7947801,-96.6926975
530W 166TH ST 3,NEW YORK,NY,10032,40.8392345,-73.9396032
10864 AUDELIA RD 100,DALLAS,TX,75238,32.896562,-96.7173138
56 QUARRY RD,TRUMBULL,CT,06611,41.2275353,-73.1824563
16634 107TH ST,ORLAND PARK,IL,60467,41.589107,-87.87826609999999
9007 ARROW RTE 100,RANCHO CUCAMONGA,CA,91730,34.0986946,-117.6089967
112 INNWOOD DR,COVINGTON,LA,70433,30.4596448,-90.1179401
2161 COLORADO BLVD 205,LOS ANGELES,CA,90041,34.1394907,-118.2134079
2550 MEADOWBROOK RD,BENTON HARBOR,MI,49022,42.0790337,-86.39668309999999
8160 EXPRESS DR,MARION,IL,62959,37.7465669,-89.00900759999999
101 E FAITH TER,MAITLAND,FL,32751,28.6422708,-81.3652616
1626 JEURGENS CT,NORCROSS,GA,30093,33.9201971,-84.1819215
2245 N BANK DR,COLUMBUS,OH,43220,40.0560967,-83.0806727
8 OLD MILL LN,SIMSBURY,CT,06070,41.8713941,-72.8103821
909E WAYNE ST 126,CELINA,OH,45822,40.5596569,-84.552849
7515 LAS FLORES DR,HOUSTON,TX,77083,29.6958476,-95.6486381
8849 BROOKSIDE AVE,WEST CHESTER,OH,45069,39.3304699,-84.4103919
21 HIGH ST,EAST HARTFORD,CT,06118,41.7440596,-72.6346585
1 TRANSAM PLAZA DR 180,OAKBROOK TERRACE,IL,60181,41.8487881,-87.9862311
18038 BARTON RIDGE LN,RICHMOND,TX,77407,29.6943046,-95.6943897
6233 EVERS RD 1,SAN ANTONIO,TX,78238,29.4964104,-98.607008
"SECTOR CAMPO ALEGRE CARR 2, KM.46.4",MANATI,PR,00674,18.4338329,-66.6134544
2105 N STATE ROAD 7,HOLLYWOOD,FL,33021,26.0287456,-80.2079401
1835 S SAM HOUSTON ST,SAN BENITO,TX,78586,26.117429,-97.6442374
2080 SILAS DEANE HWY,ROCKY HILL,CT,06067,41.6714202,-72.6434448
117 MAIN ST,MIDDLETOWN,CT,06457,41.5580899,-72.6485885
10000 ANNS CHOICE WAY,WARMINSTER,PA,18974,40.1994441,-75.0711074
36W MAIN ST,WESTBOROUGH,MA,01581,42.2714537,-71.6123485
4481 FORBES BLVD,LANHAM,MD,20706,38.9508488,-76.83089269999999
150 MONUMENT RD,BALA CYNWYD,PA,19004,40.0113726,-75.2176827
105 COLLEGE ROAD EAST,PRINCETON,NJ,08540,40.3583393,-74.6001223
3120 GRACEFILED ROAD,SILVER SPRINGS,MD,20904,39.0482641,-76.9510112
1 CEDAR CREST VILLAGE DRIVE,POMPTON PLAINS,NJ,07444,40.9810807,-74.3254706
35 FARM ROAD 250 SOUTH,HUGHES SPRINGS,TX,75656,32.998462,-94.6307585
4130 CAHUENGA BLVD 230,TOLUCA LAKE,CA,91602,34.14488,-118.3611346
163 W ARROW HWY,GLENDORA,CA,91740,34.1066892,-117.8654429
4345 SW 72 AVE,MIAMI,FL,33155,25.7297917,-80.3104822
7512 BROADWAY EXT,OKLAHOMA CITY,OK,73116,35.5485145,-97.5130911
10621 AIRPORT PULLING ROAD N,NAPLES,FL,34109,26.2695971,-81.7704981
700 E SILVERADO RANCH BLVD,LAS VEGAS,NV,89183,36.0137079,-115.1463762
8323NW12TH ST 100,DORAL,FL,33126,25.778647,-80.2962385
28315 KENSINGTON LANE,PERRYSBURG,OH,43551,41.5631875,-83.5910912
35629 HIGHWAY 72,SALEM,MO,65560,37.6604427,-91.5692287
G 5245 WEST PIERSON RD 1,FLUSHING,MI,48433,43.0598774,-83.78209
2303 S HIGHWAY 65,MARSHALL,MO,65340,39.0908148,-93.2133345
5 BROADWAY PLAZA,SPARTA,IL,62286,38.12344410000001,-89.7015479
4601 HIGHWAY MM,HANNIBAL,MO,63401,39.7029875,-91.4354204
2865S JONES BLVD,LAS VEGAS,NV,89146,36.1372768,-115.2256326
906 5TH STREET NORTH SUITE F6,CORDELE,GA,31015,31.977913,-83.778966
596N LAKE AVE 100,PASADENA,CA,91101,34.1563093,-118.132132
11333W NATIONAL AVE,WEST ALLIS,WI,53227,42.9894466,-88.0533522
14 WESTPORT AVE,NORWALK,CT,06851,41.120879,-73.4061421
253 GRANADA DR D,SAN LUIS OBISPO,CA,93401,35.2509726,-120.6669701
4770 WHITE PLAINS RD 2,BRONX,NY,10470,40.9052976,-73.84903709999999
3314 W BURBANK BLVD,BURBANK,CA,91505,34.1755934,-118.3468389
1200S DIAMOND BAR BLVD 213,DIAMOND BAR,CA,91765,34.0004384,-117.8107827
434 PARK GROVE LN,KATY,TX,77450,29.7789641,-95.75035030000001
8961 HYPOLUXO RD,LAKE WORTH,FL,33467,26.5681598,-80.1884219
1720 LAFAYETTE RD,CRAWFORDSVILLE,IN,47933,40.0674617,-86.9050709
15415 WAUMSLEY WAY,SUGAR LAND,TX,77498,29.6743754,-95.6597426
5575S SEMORAN BLVD 38,ORLANDO,FL,32822,28.4817939,-81.3073835
4760 E STATE ROAD 64,BRADENTON,FL,34208,27.4959693,-82.5034465
310 E-I30,GARLAND,TX,75043,32.8476744,-96.57478549999999
6751 DIXIE HWY,CLARKSTON,MI,48346,42.7204325,-83.4192187
209E ALAMEDA AVE 203,BURBANK,CA,91502,34.1847406,-118.290032
380 CHASE AVE,WALLA WALLA,WA,99362,46.06057269999999,-118.3415509
110 E GAINES ST,MONTICELLO,AR,71655,33.6287603,-91.79033659999999
1133 N MAIN ST,LAYTON,UT,84041,41.0768173,-111.9841541
8660 COLLEGE PARKWAY,FORT MYERS,FL,33919,26.5572945,-81.8984954
32 S MAIN ST,PUTNAM,CT,06260,41.9138684,-71.9071015
5901 CHASE RD 210,DEARBORN,MI,48126,42.3321365,-83.1864238
735 TANK FARM RD 135,SAN LUIS OBISPO,CA,93401,35.2481212,-120.6415459
972 SHOPPES BLVD,NORTH BRUNSWICK,NJ,08902,40.4605443,-74.45571199999999
116 N ARTSAKH ST,GLENDALE,CA,91206,34.1467909,-118.2538433
910 PINON RANCH VW,COLORADO SPRINGS,CO,80907,38.9016942,-104.8443662
410 S WARE BLVD,TAMPA,FL,33619,27.9468263,-82.3466421
615 FIRST STREET NORTH,COLD SPRING,MN,56320,45.465131,-94.425833
255N EL CIELO RD C308,PALM SPRINGS,CA,92262,33.8256236,-116.5116763
6 CALLE LA CRUZ,JUANA DIAZ,PR,00795,18.0473367,-66.5063697
106 1/2 HARRISON STREET,CUSHING,OK,74023,35.9802896,-96.7713138
101 SAINT LUKES CENTER DR,CHESTERFIELD,MO,63017,38.6574961,-90.50770419999999
34 EXECUTIVE PARK 212,IRVINE,CA,92614,33.6862196,-117.859559
3900 NEWPARK MALL ROAD,NEWARK,CA,94560,37.5250841,-122.0046676
1325N CENTER ST 2A,STOCKTON,CA,95202,37.9658103,-121.2949354
"2300 WEST WHITE AVENUE, STE 110",MCKINNEY,TX,75071,33.2092601,-96.6414332
7405 NW 57TH ST,LAUDERHILL,FL,33319,26.19544,-80.2500139
"1801 NE MUSTANG DR, PERMIAN REGIONAL",ANDREWS,TX,79714,32.338254,-102.5490572
4722 HWY 311,HOUMA,LA,70360,29.6039387,-90.7666638
2642 STATE ROUTE 76,WILLOW SPRINGS,MO,65793,36.9820132,-91.9904218
7701 LITTLE RD,NEW PORT RICHEY,FL,34654,28.2688628,-82.6752623
444 FOXON RD,EAST HAVEN,CT,06513,41.3234844,-72.84171649999999
450 SE US HIGHWAY 19,CRYSTAL RIVER,FL,34429,28.8915193,-82.58539549999999
32 UNION ST,WINSTED,CT,06098,41.9221282,-73.0718825
500 BIC DR,MILFORD,CT,06461,41.2193386,-73.1012958
231 FARMINGTON AVE,FARMINGTON,CT,06032,41.7370812,-72.7929235
3903 NORTHDALE BLVD,TAMPA,FL,33624,28.0947021,-82.5069551
267 FINCH AVENUE,MERIDEN,CT,06451,41.539236,-72.85220249999999
33 JAMES REYNOLDS RD E,SWANSEA,MA,02777,41.7704868,-71.2644519
403 MAIN ST,ELK RIVER,MN,55330,45.3029734,-93.5608931
605A ORANGE CENTER ROAD,ORANGE,CT,06477,41.2781744,-73.02508759999999
1883E MAPLE RD,TROY,MI,48083,42.5495007,-83.1105276
114 CALLE ELEONOR ROOSEVELT,SAN JUAN,PR,00918,18.4208539,-66.0582575
130 W ELM ST,LANCASTER,WI,53813,42.8496649,-90.7103391
198S MAIN ST 1,MOUNT CLEMENS,MI,48043,42.5905437,-82.88153609999999
900 N ROBERT AVE,ARCADIA,FL,34266,27.227471,-81.8510371
15 ESSEX RD 301,PARAMUS,NJ,07652,40.9313216,-74.0784127
4200 PARK AVE,BRIDGEPORT,CT,06604,41.213023,-73.2307831
363 ACADEMY ST,BISHOP,CA,93514,37.3633966,-118.3978513
13815 KINSMAN AVE,CLEVELAND,OH,44120,41.4648179,-81.586376
105 COMMERCE ST,ALICE,TX,78332,27.7522487,-98.0697249
8201 PORT AUSTIN RD,PIGEON,MI,48755,43.9035667,-83.32138580000002
CLAY COUNTY HOME HEALTH,MANCHESTER,KY,40962,37.1537007,-83.7618641
101 ASHLAND WAY,MADISONVILLE,LA,70447,30.466428,-90.1836587
19207 SUMMER ISLAND WAY,RICHMOND,TX,77407,29.682174,-95.7193286
2955E HILLCREST DR 123,THOUSAND OAKS,CA,91362,34.1734698,-118.8344337
1907 HWY 97 EAST,JOURDANTON,TX,78026,28.9777556,-98.4693171
3515 SPRINGDALE ROAD,CINCINNATI,OH,45251,39.2500596,-84.593904
25700 I-45 NORTH,SPRING,TX,77386,30.1358514,-95.4427616
2729 S HIGHWAY 65 & 82,LAKE VILLAGE,AR,71653,33.3025202,-91.2821187
"1110 HIGHWAY 75 NORTH, SUITE A",BRECKENRIDGE,MN,56520,46.2759241,-96.5860115
AVE. DE DIEGO 580,SAN JUAN,PR,00920,18.4067306,-66.0885694
